date,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
2021-07-12,2135.6768,2135.6768,2140.7778,2156.371,2154.4583,2147.4192,2155.4822,2158.9502,2145.2974,2139.3357,2128.3862,2128.3862,2099.4004,2099.9263,2099.9263,2094.0444,2086.4836,2054.9614,2023.8988,2026.5184,2010.3373,2024.088,2036.87,2029.1503
2021-07-13,2028.6141,2026.596,2023.1846,2035.5524,2024.8263,2022.5975,1988.0322,2011.1858,2030.8618,2019.826,2033.5608,2018.0485,1994.62,1962.4342,1972.024,1980.1846,1993.1594,1986.1539,1985.8552,1960.1677,1919.2288,1949.535,1950.37,1936.8293
2021-07-14,1944.9567,1896.131,1914.8,1906.7019,1876.8735,1884.0908,1880.5625,1885.8434,1893.7854,1874.5016,1931.4767,1950.3864,1954.678,1952.1602,2011.6451,2013.2805,2000.5632,2002.7513,2005.728,1985.8273,1987.7328,1993.345,2000.652,1996.7246
2021-07-15,1986.6428,2017.541,2012.8148,1988.4213,1979.4797,1962.5881,1957.3356,1948.9252,1960.7848,1963.9249,1971.9318,1909.1855,1908.2986,1905.2567,1925.0889,1912.7404,1910.1924,1889.5173,1902.3451,1909.3303,1921.8287,1929.1471,1917.6842,1918.9183
2021-07-16,1919.9553,1911.191,1927.8885,1949.2687,1962.0808,1940.9503,1919.3446,1915.5886,1897.8961,1877.8081,1866.4749,1860.6937,1864.6505,1897.8085,1895.7177,1914.5675,1935.4685,1925.2367,1918.862,1917.3383,1917.4884,1897.4421,1893.043,1876.1171
2021-07-17,1870.3124,1901.1276,1868.4274,1872.857,1863.2478,1866.5062,1891.5778,1884.7529,1875.5626,1890.7717,1879.9106,1854.805,1867.761,1877.5536,1887.1333,1878.3358,1888.2534,1897.5857,1898.3512,1910.143,1906.195,1899.4861,1913.6621,1896.7567
2021-07-18,1903.1208,1979.9269,1989.4089,1979.6785,1985.458,1981.1017,1970.217,1954.904,1966.9752,1966.9752,1960.2482,1966.255,1967.0203,1957.8949,1944.3864,1903.9124,1887.4457,1900.9407,1900.9407,1897.7037,1897.1827,1893.7604,1920.8774,1894.3416
2021-07-19,1890.6381,1875.8374,1886.5065,1886.5149,1893.4358,1898.725,1901.4205,1908.5532,1890.1713,1877.1143,1864.3754,1857.5485,1858.8197,1807.0967,1806.0615,1825.9939,1816.468,1825.0913,1819.1963,1812.8888,1814.9219,1825.712,1811.9556,1827.8049
2021-07-20,1816.6357,1817.1014,1779.0161,1746.6615,1722.6512,1732.5894,1743.2357,1762.3748,1755.0978,1743.109,1733.426,1758.3995,1759.4749,1750.9786,1746.229,1771.8896,1805.2244,1779.7334,1787.6461,1794.7971,1798.9896,1804.6511,1779.4213,1777.3405
2021-07-21,1792.9395,1763.369,1775.4625,1798.4945,1806.6328,1859.9489,1866.0562,1879.7964,1877.9849,1874.7859,1894.1654,1895.1105,1911.4303,1899.502,1910.1777,1941.6936,1958.3402,1976.3992,1972.8331,1957.3154,1937.2095,1951.4766,1949.8562,1985.0421
